GoalsScored,GoalsConceded
1.1607142857142858,1.375
1.0,1.2857142857142858
0.4,2.175
1.6956521739130435,1.173913043478261
1.15,2.125
0.9230769230769231,2.0
1.5,1.1774193548387097
0.782608695652174,1.7391304347826086
0.875,1.85
2.625,0.9375
1.4385964912280702,1.5087719298245614
1.6363636363636365,1.0909090909090908
1.0,1.6153846153846154
0.7777777777777778,2.0
0.6666666666666666,2.3333333333333335
1.125,1.125
2.0,0.7777777777777778
0.9090909090909091,1.6363636363636365
1.6265060240963856,1.2048192771084338
0.7586206896551724,2.0344827586206895
1.3870967741935485,1.1774193548387097
1.8513513513513513,0.8648648648648649
1.1666666666666667,1.0
0.6666666666666666,2.0
2.0786516853932584,0.7640449438202247
0.825,2.025
0.5454545454545454,2.090909090909091
1.2542372881355932,1.0169491525423728
1.9673913043478262,0.8043478260869565
1.1914893617021276,1.425531914893617
2.2096774193548385,1.096774193548387
1.2727272727272727,1.5454545454545454
0.29545454545454547,4.136363636363637
1.2461538461538462,0.9384615384615385
0.16666666666666666,1.8333333333333333
1.467741935483871,1.2419354838709677
1.2884615384615385,1.6153846153846154
0.7777777777777778,1.4444444444444444
1.5,1.537037037037037
1.7777777777777777,0.7777777777777778
1.3333333333333333,1.3333333333333333
1.1333333333333333,1.2666666666666666
1.0576923076923077,1.7692307692307692
1.1041666666666667,1.6458333333333333
0.6842105263157895,2.0789473684210527
0.13333333333333333,3.2666666666666666
0.6666666666666666,2.1296296296296298
1.0833333333333333,1.8958333333333333
2.6,1.5
0.4473684210526316,2.6842105263157894
0.9333333333333333,1.1333333333333333
0.5,2.217391304347826
1.2777777777777777,1.3703703703703705
0.8,0.9
2.08,0.9866666666666667
0.6666666666666666,0.6666666666666666
0.9,1.4
0.3333333333333333,4.0
1.2121212121212122,1.696969696969697
0.9791666666666666,1.1875
1.6964285714285714,1.125
0.6666666666666666,3.6666666666666665
0.6,0.4
0.6666666666666666,0.6666666666666666
1.6164383561643836,1.1917808219178083
2.2093023255813953,0.7558139534883721
0.3333333333333333,2.3333333333333335
0.9298245614035088,1.0526315789473684
1.3846153846153846,1.1153846153846154
1.851063829787234,1.1702127659574468
0.175,4.475
0.8333333333333334,2.0
1.6379310344827587,1.1896551724137931
1.2857142857142858,1.5714285714285714
1.8064516129032258,1.2419354838709677
1.3636363636363635,1.1666666666666667
1.3548387096774193,1.0
1.0,1.6666666666666667
1.2142857142857142,1.7857142857142858
2.2637362637362637,0.7252747252747253
1.791044776119403,1.1791044776119404
1.7848101265822784,1.1265822784810127
1.0,1.5
1.7540983606557377,1.180327868852459
1.3548387096774193,1.1774193548387097
1.0833333333333333,1.25
1.263157894736842,1.0
1.2698412698412698,1.0476190476190477
